,venueID,category,nearby_same_category,total_nearby
298,26010,Bar,723,6736
299,22916,Restaurant,1875,6293
301,1597,Restaurant,1434,4824
303,19458,Bar,667,6454
304,4685,Restaurant,1824,5914
305,5160,Bar,444,5387
307,2328,Structure,83,4512
308,22342,Restaurant,2081,6635
310,3389,Bar,458,5448
311,772,Bar,719,6318
313,37,Bar,658,5606
317,29002,Gym and Studio,15,882
324,4009,Gym and Studio,15,858
325,5651,Gym and Studio,10,636
326,3988,Food and Beverage Retail,28,679
327,3191,Gym and Studio,53,1892
328,18560,Government Building,22,554
329,4517,Gym and Studio,18,1001
330,26148,Spiritual Center,25,2209
337,16941,Hardware Store,6,547
338,15993,Structure,10,357
339,7137,Restaurant,905,3191
340,657,Bar,419,5045
341,7202,Furniture and Home Store,16,3337
342,30346,Hardware Store,5,525
343,5685,"Cafe, Coffee, and Tea House",34,932
351,9322,Spiritual Center,16,742
356,12341,Financial Service,18,961
357,11224,Food and Beverage Retail,36,944
358,4351,Performing Arts Venue,125,4546
364,3970,Movie Theater,3,864
371,3818,Department Store,20,6059
372,1280,Museum,6,859
373,898,Movie Theater,25,5717
376,5903,Restaurant,375,1532
377,11726,Bakery,5,722
378,17274,Spiritual Center,16,796
379,8358,Restaurant,216,928
381,16059,Restaurant,193,849
384,23445,Spiritual Center,18,903
386,25589,Spiritual Center,7,443
387,1384,Performing Arts Venue,187,3597
399,1586,Performing Arts Venue,200,4480
401,24800,Restaurant,1502,5180
404,21736,Restaurant,200,881
406,33475,Bar,592,6375
408,23243,Pet Supplies Store,8,1407
420,14747,Performing Arts Venue,204,4632
421,25024,Financial Service,90,4834
422,10052,Government Building,20,814
427,4551,Restaurant,187,848
438,10618,Sporting Goods Retail,5,842
440,33840,Performing Arts Venue,218,5580
441,8513,Pharmacy,17,878
442,7184,Pharmacy,19,892
446,21722,Education,90,907
450,16216,Education,67,3269
456,29329,Restaurant,167,806
465,162,Food and Beverage Retail,60,2155
466,5437,Miscellaneous Store,2,543
475,9672,Laundry Service,13,934
478,14386,Fashion Retail,13,883
479,11688,Sporting Goods Retail,9,1791
489,32969,Financial Service,7,629
490,33734,Structure,58,2483
491,4547,Department Store,3,610
492,2861,Shopping Mall,0,559
496,9429,Restaurant,471,1641
505,5085,Miscellaneous Store,0,509
507,4235,Park,4,161
508,22053,Food and Beverage Retail,20,576
509,27570,Food and Beverage Retail,19,591
511,14008,Restaurant,141,557
514,16687,Food and Beverage Retail,13,261
515,26788,Food and Beverage Retail,11,215
516,15632,Bar,14,301
522,5084,Food and Beverage Retail,12,511
527,8908,Food and Beverage Retail,20,609
532,4020,Bar,99,1574
538,15858,Physician,36,6173
541,13439,Restaurant,472,1662
555,4885,Physician,8,640
620,6476,"Cafe, Coffee, and Tea House",265,5894
621,31100,"Cafe, Coffee, and Tea House",30,847
622,16660,Restaurant,1679,5500
623,22745,Education,86,1334
624,32298,"Cafe, Coffee, and Tea House",145,2991
625,29864,Restaurant,785,2740
641,7583,Performing Arts Venue,11,794
642,3174,Restaurant,1964,6447
643,758,Park,76,6213
644,35239,Bar,721,6724
646,26181,Restaurant,910,3139
647,33308,Restaurant,669,2375
648,730,Performing Arts Venue,129,5341
649,19004,Food and Beverage Retail,85,2821
654,5925,"Cafe, Coffee, and Tea House",52,1331
655,2991,Restaurant,752,2672
656,6783,Food and Beverage Retail,86,2723
657,21581,Art Gallery,19,3111
658,24731,Restaurant,227,947
661,32393,Bar,148,2229
663,32161,Park,88,4845
664,4271,Bakery,51,5081
666,6747,Restaurant,1812,5725
667,3536,Dessert Shop,93,5740
668,14037,Food and Beverage Retail,29,761
670,5482,"Cafe, Coffee, and Tea House",33,919
673,25085,Restaurant,529,1922
675,9776,Food and Beverage Retail,81,2692
676,16383,Government Building,22,982
698,5601,Food and Beverage Retail,54,1445
699,7327,Arts and Crafts Store,4,1415
707,4489,Restaurant,409,1385
709,19396,Bakery,35,2801
717,5375,Bookstore,18,6005
720,11215,Miscellaneous Store,21,3078
722,104,Bar,604,5064
723,10007,"Cafe, Coffee, and Tea House",250,5494
724,23917,Health and Beauty Service,22,980
725,12020,Restaurant,177,794
734,3657,Food and Beverage Retail,118,6069
736,13908,Museum,2,307
737,25404,Boutique,28,6576
738,2297,Bar,553,4795
744,22834,Restaurant,748,2655
745,28434,Bar,604,6081
746,3917,Bridge,13,2302
747,8939,Food and Beverage Retail,35,920
750,16851,Restaurant,241,832
751,7062,Bookstore,8,1171
755,3286,Harbor or Marina,1,3395
756,5694,Bakery,11,963
757,9089,Arts and Crafts Store,4,1843
758,24304,Plaza,1,518
760,2548,Restaurant,195,838
761,5015,Bar,479,4810
762,21090,States and Municipalities,9,977
763,34325,Dessert Shop,22,999
764,18341,Restaurant,517,1873
774,34045,Restaurant,196,870
775,4503,Bagel Shop,20,5996
777,5530,Park,54,887
779,6847,Bar,22,426
780,35340,Bar,22,418
781,23660,Education,92,859
782,3369,"Cafe, Coffee, and Tea House",38,924
785,1337,Restaurant,328,1173
786,1848,Museum,5,1146
789,29105,Restaurant,1617,5164
790,2738,Restaurant,2066,6587
795,22367,Performing Arts Venue,18,1190
810,13367,Restaurant,261,1028
811,466,Lodging,125,5853
819,18178,Fashion Retail,209,5101
845,22216,Fashion Retail,68,1888
865,4498,Fashion Retail,233,5158
868,3519,Furniture and Home Store,28,5266
869,1721,"Cafe, Coffee, and Tea House",247,5290
877,27646,Garden,1,911
882,26695,Health and Beauty Service,21,498
883,25195,Restaurant,196,711
884,34184,Restaurant,198,877
888,35069,"Cafe, Coffee, and Tea House",30,821
894,9495,Department Store,7,889
895,7031,Gym and Studio,57,2156
896,33022,Restaurant,1518,5239
897,25095,Performing Arts Venue,210,5255
902,29977,Gym and Studio,56,2139
903,963,Restaurant,875,3095
904,10779,Cosmetics Store,39,4579
906,6835,Health and Beauty Service,110,4481
907,14445,Cosmetics Store,18,1741
911,9694,Cosmetics Store,43,4872
921,35478,Beach,4,2096
923,18833,Structure,40,2124
926,11340,Library,2,1789
928,29543,Sporting Goods Retail,13,2027
945,3962,Restaurant,758,2741
955,4692,Gym and Studio,138,5267
956,2179,Restaurant,1684,5328
978,4072,Gym and Studio,131,5150
979,12953,Restaurant,1987,6519
981,35619,Beach,2,4194
985,2365,Bar,561,4979
987,7217,Gym and Studio,162,6751
1008,34681,Bar,729,6754
1013,34897,Structure,72,4808
1014,22152,Restaurant,240,830
1015,1679,Restaurant,2031,6539
1016,4690,Restaurant,1261,4394
1017,33431,Restaurant,1862,5948
1024,2833,Sporting Goods Retail,36,6496
1025,4866,Restaurant,1962,6445
1026,305,Restaurant,267,909
1027,23832,Restaurant,307,1059
1028,23870,Office,126,6738
1029,6806,Food Truck,85,6713
1030,6016,Bar,723,6527
1031,33968,Restaurant,1913,6120
1032,26635,Office,113,5980
1034,11466,Restaurant,1456,4621
1036,2669,Art Gallery,27,4035
1037,2783,Restaurant,2016,6614
1039,1046,Restaurant,1629,5083
1040,33410,Restaurant,2078,6692
1041,26310,States and Municipalities,19,5585
1042,4903,Restaurant,2074,6686
1043,2856,Restaurant,2052,6672
1044,6283,Juice Bar,25,6646
1045,23532,Other Great Outdoors,14,1308
1046,32995,Restaurant,288,1003
1048,2228,"Cafe, Coffee, and Tea House",38,923
1049,6247,Restaurant,277,960
1051,32143,Restaurant,1892,6059
1054,34800,Bar,260,1429
1055,950,Restaurant,2082,6771
1056,35777,Moving Target,6,3479
1057,8917,Park,81,4574
1058,16939,Skating,2,3897
1059,31,Bar,61,500
1060,24278,Restaurant,1636,5138
1061,26841,Flea Market,3,1595
1062,3289,Flea Market,3,1351
1063,2435,Bar,155,879
1065,6363,Education,78,3949
1066,24358,Bagel Shop,16,5093
1071,14537,Restaurant,1372,4363
1072,2278,Restaurant,249,852
1073,2067,"Cafe, Coffee, and Tea House",253,5602
1074,21768,Restaurant,1638,5296
1075,35281,Movie Theater,23,6719
1076,85,Restaurant,1375,4388
1077,14044,"Cafe, Coffee, and Tea House",202,4419
1079,735,Harbor or Marina,6,2398
1080,25884,Farm,0,1364
1081,46,Performing Arts Venue,119,4511
1082,13483,Fashion Retail,9,737
1083,23763,Restaurant,1573,5112
1085,2432,Restaurant,607,2088
1086,1001,Bar,287,3637
1087,4875,Restaurant,1779,5748
1088,896,Park,94,5739
1089,2316,Performing Arts Venue,22,950
1090,4780,Garden,7,4625
1091,4938,"Cafe, Coffee, and Tea House",240,5331
1092,3607,Restaurant,1284,4511
1094,36546,Moving Target,2,724
1095,13342,Baseball,1,671
1096,26630,Restaurant,275,953
1098,2025,Restaurant,1680,5320
1099,26808,Park,55,4074
1101,1890,Park,34,1794
1102,1038,Park,27,1082
1104,20755,Restaurant,1429,4807
1105,32192,Restaurant,1640,5110
1106,1950,"Cafe, Coffee, and Tea House",327,6703
1108,36482,General Entertainment,98,6143
1109,2419,Restaurant,2031,6659
1110,3108,Bar,527,5254
1111,1565,Bagel Shop,5,963
1112,3514,Restaurant,268,917
1113,5011,Restaurant,279,970
1114,472,Restaurant,1968,6465
1116,6370,Racquet Sports,5,4395
1117,1832,Restaurant,1651,5276
1118,28437,Dessert Shop,82,4942
1120,27770,Restaurant,1897,6070
1121,3802,Food and Beverage Retail,111,5911
1123,5661,Restaurant,1479,4817
1124,10117,Restaurant,1649,5279
1125,18845,Restaurant,1679,5243
1126,10139,Furniture and Home Store,29,6253
1127,32420,Restaurant,2075,6751
1129,13584,Department Store,4,87
1130,12886,Restaurant,2137,6755
1131,31486,Office,131,6650
1133,24778,Bar,722,6455
1134,21648,Sculpture Garden,4,3687
1136,6985,Restaurant,2072,6755
1137,3194,Restaurant,1751,5532
1139,2643,Restaurant,1813,5846
1140,71,Restaurant,448,1462
1142,4123,Restaurant,725,2503
1144,10989,Pharmacy,84,6720
1145,2705,Gift Store,11,4965
1150,6637,Bar,290,1503
1151,18530,Restaurant,293,1025
1152,17161,Hardware Store,3,900
1153,923,Bar,667,5753
1154,2652,Lodging,59,4828
1155,5792,Restaurant,2067,6709
1156,1576,Restaurant,1991,6537
1157,2061,Plaza,7,977
1158,1301,Park,16,726
1160,27768,Stadium,9,445
1162,1314,Restaurant,2081,6637
1163,603,Restaurant,2055,6683
1164,2591,Restaurant,1604,5564
1165,18884,Restaurant,1593,5529
1167,3730,Restaurant,1745,5952
1168,1417,Bar,572,4969
1169,2905,Restaurant,1697,5407
1171,4333,Restaurant,1673,5772
1172,28998,Restaurant,1543,5324
1173,34998,Government Building,54,6448
1174,951,Performing Arts Venue,110,3992
1175,32724,Restaurant,1583,4982
1176,126,Bar,364,3671
1177,26955,Restaurant,1556,4997
1178,4203,Sporting Goods Retail,25,5143
1180,36892,Bar,505,5763
1182,19470,Office,105,5646
1183,2393,Restaurant,1647,5611
1186,9498,Restaurant,1602,5567
1188,10039,"Cafe, Coffee, and Tea House",268,5717
1190,1612,Restaurant,1470,4594
1191,11804,Restaurant,1557,5381
1193,25090,Restaurant,1911,6098
1194,5989,Restaurant,1529,5340
1197,1036,Other Great Outdoors,20,4376
1199,1711,Restaurant,1591,5308
1200,3960,Lighthouse,0,318
1201,13066,Bar,564,4811
1203,2490,Plaza,31,4536
1204,33609,Baseball,3,619
1205,21432,Park,4,80
1206,163,Bar,557,4845
1207,5378,Other Great Outdoors,18,1880
1208,3414,Restaurant,1379,4824
1209,35136,Event Space,30,4726
1210,22101,Restaurant,1332,4186
1211,1961,Bar,573,4963
1212,1716,Bar,529,4495
1214,28755,Health and Beauty Service,45,1729
1215,28423,Restaurant,415,1508
1217,6022,Performing Arts Venue,211,6555
1218,14818,Restaurant,2072,6607
1219,15326,Soccer,1,541
1220,26852,Field,0,4097
1221,32449,Bar,545,4342
1223,1515,Restaurant,1479,4670
1225,3465,Spiritual Center,14,952
1227,8945,Sporting Goods Retail,10,1130
1230,16400,Bar,570,4806
1231,9200,Dessert Shop,80,4864
1232,1635,Restaurant,1599,5094
1234,62,Restaurant,1771,5610
1235,489,Restaurant,814,2852
1236,6034,Sporting Goods Retail,39,5883
1237,13456,Restaurant,372,1360
1238,2980,Park,51,1325
1239,8060,Structure,50,1702
1240,10434,Restaurant,85,308
1241,3968,Dessert Shop,4,303
1242,26750,Plaza,7,928
1244,5109,Food and Beverage Retail,62,1531
1247,16342,Sporting Goods Retail,29,5560
1248,16341,Park,17,352
1249,5946,"Cafe, Coffee, and Tea House",278,6120
1250,24669,Bar,698,6118
1251,5013,Restaurant,401,1420
1253,2224,Bar,95,1028
1254,24968,Bar,614,5341
1255,13429,Sporting Goods Retail,8,1736
1256,22158,Computers and Electronics Retail,47,5891
1257,33554,Restaurant,1647,5616
1263,1898,Restaurant,1660,5358
1264,4373,Food Truck,71,5627
1265,726,Park,64,5919
1266,17435,Food and Beverage Retail,104,5972
1267,929,Bookstore,17,5943
1268,26706,Event Space,15,3053
1273,3036,Restaurant,1632,5580
1274,1281,Restaurant,2043,6709
1275,2713,Dessert Shop,71,5373
1276,29034,Restaurant,1515,5231
1277,27472,Sporting Goods Retail,5,1476
1278,26637,Restaurant,1652,5626
1280,29014,Restaurant,1607,5577
1284,17707,Government Building,47,4906
1285,521,Restaurant,1410,4454
1290,4408,Restaurant,1818,6047
1291,2198,Restaurant,1232,3909
1292,1094,"Cafe, Coffee, and Tea House",251,5484
1295,11009,Restaurant,439,1640
1298,344,Restaurant,1953,6402
1299,36471,Other Great Outdoors,41,6340
1323,25814,Lodging,27,3164
1325,1292,Education,164,5501
1326,11535,Education,172,5657
1327,1891,Gym and Studio,87,3469
1328,17337,Running and Track,3,4535
1329,4479,Sporting Goods Retail,35,4900
1330,17620,Running and Track,0,265
1344,24745,Structure,118,4725
1348,1514,Movie Theater,24,6097
1349,36555,Event Space,50,4737
1350,24042,Spiritual Center,10,3159
1353,5055,Health and Beauty Service,185,5821
1379,31230,"Cafe, Coffee, and Tea House",250,5418
1380,2998,Bookstore,17,5931
1381,3317,Zoo,1,4452
1382,8428,Record Store,24,5195
1383,27385,Bookstore,22,6574
1386,1413,Restaurant,1692,5873
1399,25259,Food Truck,32,3289
1401,6953,Boutique,49,5056
1402,23696,Running and Track,2,4568
1412,3502,Hardware Store,13,6711
1416,33512,"Cafe, Coffee, and Tea House",13,224
1419,21453,Running and Track,0,108
1426,15737,Stadium,4,69
1430,129,Performing Arts Venue,193,3675
1431,10766,Pharmacy,12,332
1432,23146,Breakfast Spot,0,221
1433,7087,Fashion Retail,233,5101
1435,3438,"Cafe, Coffee, and Tea House",201,4248
1438,2942,Restaurant,1256,4032
1442,934,Restaurant,1632,5197
1445,1524,Food and Beverage Retail,116,6152
1446,13085,Fashion Retail,295,6256
1449,10561,Restaurant,1400,4424
1450,20495,States and Municipalities,0,269
1452,12786,Pharmacy,39,4188
1453,1060,Restaurant,1440,4580
1461,5388,Restaurant,1281,4089
1462,13511,Bakery,11,259
1463,10183,Food and Beverage Retail,21,274
1464,21413,Donut Shop,3,228
1465,13416,Food and Beverage Retail,17,257
1484,17379,Pharmacy,3,258
1490,19068,Restaurant,74,269
1492,23374,Fashion Retail,0,243
1493,18096,Food and Beverage Retail,17,351
1495,2497,Restaurant,87,323
1496,11266,Food and Beverage Retail,22,280
1497,14453,Bakery,11,260
1498,7154,Restaurant,76,286
1500,3436,"Cafe, Coffee, and Tea House",12,254
1501,18408,Food and Beverage Retail,19,340
1503,15169,Restaurant,89,345
1504,1052,Restaurant,1320,4202
1505,11954,General Travel,6,3840
1508,12721,Restaurant,76,280
1511,540,Restaurant,1365,4313
1513,19739,Physician,17,4253
1514,7566,Fashion Retail,198,4432
1515,9534,"Cafe, Coffee, and Tea House",8,332
1526,4456,"Cafe, Coffee, and Tea House",244,5268
1527,1561,Toy Store,3,5181
1528,23970,Vintage and Thrift Store,0,275
1530,2016,Food and Beverage Retail,103,5015
1533,2895,Movie Theater,13,2480
1534,28578,Dentist,4,4034
1539,11788,Bakery,57,4072
1540,28722,"Cafe, Coffee, and Tea House",200,4206
1541,2661,Bakery,57,3988
1546,18850,Restaurant,77,289
1550,5623,Restaurant,285,994
1551,20560,Department Store,2,754
1558,36837,Dessert Shop,1,281
1560,28720,Health and Beauty Service,14,289
1561,19110,Department Store,4,80
1563,4750,Bar,573,6317
1565,22663,Bakery,6,269
1566,14387,Restaurant,86,280
1569,6287,Hospital,1,293
1572,17180,Restaurant,14,81
1573,9551,Miscellaneous Store,1,88
1574,16220,Bridge,0,21
1575,18406,"Cafe, Coffee, and Tea House",1,52
1577,11347,Food and Beverage Retail,19,264
1579,31668,Other Great Outdoors,5,306
1580,8237,Department Store,3,177
1581,5514,Department Store,3,165
1583,14402,Restaurant,89,344
1586,2952,Restaurant,72,291
1587,5824,Department Store,3,1201
1588,23251,Food and Beverage Retail,11,148
1592,6869,Restaurant,125,402
1609,8682,Restaurant,77,289
1612,20191,Restaurant,75,272
1613,14452,Restaurant,1253,4021
1616,11043,Restaurant,60,218
1627,21392,Restaurant,69,248
1633,35660,"Cafe, Coffee, and Tea House",8,281
1641,8821,Food and Beverage Retail,9,234
1644,37651,Other Great Outdoors,0,157
1645,180,Restaurant,1420,4487
1648,15956,Financial Service,2,258
1654,3606,Miscellaneous Store,3,263
1700,29456,General Travel,0,331
1731,22246,Restaurant,73,255
1736,26416,Food and Beverage Retail,18,256
1739,8589,Structure,62,4236
1740,803,Restaurant,1265,4051
1743,28125,Restaurant,2051,6607
1744,4136,Pet Supplies Store,9,6414
1772,37097,Education,10,28
1773,35375,Education,10,28
1774,24368,Education,10,28
1775,22868,Education,10,27
1776,34822,Education,10,28
1826,26080,Education,10,27
1830,22862,Education,10,27
1845,31559,Education,10,27
1927,9843,Health and Beauty Service,190,6695
1928,11259,"Cafe, Coffee, and Tea House",317,6755
1929,902,Park,68,6729
1937,21412,"Cafe, Coffee, and Tea House",321,6749
1938,6391,Restaurant,1992,6426
1939,29,"Cafe, Coffee, and Tea House",303,6403
1953,26582,Restaurant,2034,6688
1961,593,Restaurant,1902,6072
1972,2974,"Cafe, Coffee, and Tea House",319,6758
1976,323,Restaurant,1909,6288
1982,21614,Restaurant,2079,6691
1993,36287,Furniture and Home Store,25,6737
1995,2636,Juice Bar,23,6758
2006,7526,"Cafe, Coffee, and Tea House",320,6654
2032,2449,Food and Beverage Retail,122,6353
2033,1937,Food and Beverage Retail,121,6133
2039,27605,Restaurant,2072,6755
2042,220,Bagel Shop,21,5720
2057,9064,Pharmacy,84,6754
2060,2183,Restaurant,1997,6571
2063,9241,Gift Store,18,6759
2070,332,Restaurant,2002,6583
2075,89,Bar,722,6396
2078,24624,Restaurant,2032,6689
2090,3074,Restaurant,2004,6567
2096,5012,Furniture and Home Store,27,6461
2099,9692,Restaurant,1586,5145
2121,33292,Government Building,5,85
2132,3867,Movie Theater,20,6124
2133,8447,Restaurant,2099,6653
2135,27174,Miscellaneous Store,38,6757
2138,3880,Restaurant,2061,6754
2142,965,Park,59,4872
2164,17420,Fashion Retail,310,6442
2176,8438,Boutique,29,6714
2188,3733,Hospital,10,5217
2210,34700,Restaurant,2073,6754
2216,4830,Fashion Retail,232,5236
2217,2083,Movie Theater,27,5275
2267,84,Restaurant,1631,5669
2268,3234,Performing Arts Venue,217,5666
2277,12135,Laundry Service,8,1208
2278,634,Restaurant,1633,5229
2279,1295,Convention Center,22,4626
2280,25885,General Entertainment,85,4504
2281,34509,Convention Center,22,4395
2282,8371,Restaurant,493,1863
2283,6314,Restaurant,492,1859
2284,16167,Structure,117,4177
2285,10731,Restaurant,1742,5802
2286,27398,Night Club,43,5506
2294,1377,Restaurant,1499,4814
2296,13336,Government Building,59,2484
2297,4928,Government Building,51,1491
2298,1262,Restaurant,1574,5003
2300,35150,Bar,679,5805
2301,3862,Bar,349,3303
2303,21708,Structure,116,4176
2306,11690,Restaurant,67,229
2311,28211,Scenic Lookout,19,3944
2313,5188,Miscellaneous Store,22,4919
2314,22777,Fashion Retail,223,4888
2315,24729,Bar,679,5807
2320,11220,Restaurant,389,1477
2321,18514,Restaurant,328,1271
2324,27541,General Entertainment,98,5919
2331,16199,Park,31,427
2332,3687,Hardware Store,11,4481
2335,32433,Restaurant,1687,5821
2336,32797,Restaurant,23,151
2337,10063,Food and Beverage Retail,42,1162
2340,2134,Bar,511,5060
2341,22738,Lodging,128,5784
2345,9904,Restaurant,1905,6192
2347,876,Dessert Shop,75,5733
2348,32447,Bar,505,5772
2349,78,Restaurant,1395,4914
2351,45,Bar,657,5630
2353,5738,Art Gallery,56,5230
2355,15150,Bar,522,4378
2364,18926,Bar,514,5059
2366,20949,Park,65,1253
2367,11670,Running and Track,10,2837
2369,18205,Food Truck,4,961
2370,19578,Park,27,1504
2371,25300,Park,102,2852
2373,13059,Restaurant,1698,5852
2375,33468,Night Club,32,5287
2380,3656,Park,110,2510
2381,8785,Sporting Goods Retail,3,841
2385,2150,Bar,552,4767
2387,536,Restaurant,1169,4264
2392,1986,Restaurant,1645,5349
